Index,AttackingType,DefendingType,Modifier
NormalNormal,Normal,Normal,1
NormalFighting,Normal,Fighting,1
NormalFlying,Normal,Flying,1
NormalPoison,Normal,Poison,1
NormalGround,Normal,Ground,1
NormalRock,Normal,Rock,0.5
NormalBug,Normal,Bug,1
NormalGhost,Normal,Ghost,0
NormalSteel,Normal,Steel,0.5
NormalFire,Normal,Fire,1
NormalWater,Normal,Water,1
NormalGrass,Normal,Grass,1
NormalElectric,Normal,Electric,1
NormalPsychic,Normal,Psychic,1
NormalIce,Normal,Ice,1
NormalDragon,Normal,Dragon,1
NormalDark,Normal,Dark,1
NormalFairy,Normal,Fairy,1
FightingNormal,Fighting,Normal,2
FightingFighting,Fighting,Fighting,1
FightingFlying,Fighting,Flying,0.5
FightingPoison,Fighting,Poison,0.5
FightingGround,Fighting,Ground,1
FightingRock,Fighting,Rock,2
FightingBug,Fighting,Bug,0.5
FightingGhost,Fighting,Ghost,0
FightingSteel,Fighting,Steel,2
FightingFire,Fighting,Fire,1
FightingWater,Fighting,Water,1
FightingGrass,Fighting,Grass,1
FightingElectric,Fighting,Electric,1
FightingPsychic,Fighting,Psychic,0.5
FightingIce,Fighting,Ice,2
FightingDragon,Fighting,Dragon,1
FightingDark,Fighting,Dark,2
FightingFairy,Fighting,Fairy,0.5
FlyingNormal,Flying,Normal,1
FlyingFighting,Flying,Fighting,2
FlyingFlying,Flying,Flying,1
FlyingPoison,Flying,Poison,1
FlyingGround,Flying,Ground,1
FlyingRock,Flying,Rock,0.5
FlyingBug,Flying,Bug,2
FlyingGhost,Flying,Ghost,1
FlyingSteel,Flying,Steel,0.5
FlyingFire,Flying,Fire,1
FlyingWater,Flying,Water,1
FlyingGrass,Flying,Grass,2
FlyingElectric,Flying,Electric,0.5
FlyingPsychic,Flying,Psychic,1
FlyingIce,Flying,Ice,1
FlyingDragon,Flying,Dragon,1
FlyingDark,Flying,Dark,1
FlyingFairy,Flying,Fairy,1
PoisonNormal,Poison,Normal,1
PoisonFighting,Poison,Fighting,1
PoisonFlying,Poison,Flying,1
PoisonPoison,Poison,Poison,0.5
PoisonGround,Poison,Ground,0.5
PoisonRock,Poison,Rock,0.5
PoisonBug,Poison,Bug,1
PoisonGhost,Poison,Ghost,0.5
PoisonSteel,Poison,Steel,0
PoisonFire,Poison,Fire,1
PoisonWater,Poison,Water,1
PoisonGrass,Poison,Grass,2
PoisonElectric,Poison,Electric,1
PoisonPsychic,Poison,Psychic,1
PoisonIce,Poison,Ice,1
PoisonDragon,Poison,Dragon,1
PoisonDark,Poison,Dark,1
PoisonFairy,Poison,Fairy,2
GroundNormal,Ground,Normal,1
GroundFighting,Ground,Fighting,1
GroundFlying,Ground,Flying,0
GroundPoison,Ground,Poison,2
GroundGround,Ground,Ground,1
GroundRock,Ground,Rock,2
GroundBug,Ground,Bug,0.5
GroundGhost,Ground,Ghost,1
GroundSteel,Ground,Steel,2
GroundFire,Ground,Fire,2
GroundWater,Ground,Water,1
GroundGrass,Ground,Grass,0.5
GroundElectric,Ground,Electric,2
GroundPsychic,Ground,Psychic,1
GroundIce,Ground,Ice,1
GroundDragon,Ground,Dragon,1
GroundDark,Ground,Dark,1
GroundFairy,Ground,Fairy,1
RockNormal,Rock,Normal,1
RockFighting,Rock,Fighting,0.5
RockFlying,Rock,Flying,2
RockPoison,Rock,Poison,1
RockGround,Rock,Ground,0.5
RockRock,Rock,Rock,1
RockBug,Rock,Bug,2
RockGhost,Rock,Ghost,1
RockSteel,Rock,Steel,0.5
RockFire,Rock,Fire,2
RockWater,Rock,Water,1
RockGrass,Rock,Grass,1
RockElectric,Rock,Electric,1
RockPsychic,Rock,Psychic,1
RockIce,Rock,Ice,2
RockDragon,Rock,Dragon,1
RockDark,Rock,Dark,1
RockFairy,Rock,Fairy,1
BugNormal,Bug,Normal,1
BugFighting,Bug,Fighting,0.5
BugFlying,Bug,Flying,0.5
BugPoison,Bug,Poison,0.5
BugGround,Bug,Ground,1
BugRock,Bug,Rock,1
BugBug,Bug,Bug,1
BugGhost,Bug,Ghost,0.5
BugSteel,Bug,Steel,0.5
BugFire,Bug,Fire,0.5
BugWater,Bug,Water,1
BugGrass,Bug,Grass,2
BugElectric,Bug,Electric,1
BugPsychic,Bug,Psychic,2
BugIce,Bug,Ice,1
BugDragon,Bug,Dragon,1
BugDark,Bug,Dark,2
BugFairy,Bug,Fairy,0.5
GhostNormal,Ghost,Normal,0
GhostFighting,Ghost,Fighting,1
GhostFlying,Ghost,Flying,1
GhostPoison,Ghost,Poison,1
GhostGround,Ghost,Ground,1
GhostRock,Ghost,Rock,1
